Date,GBPCM30Y:Swap Spread - Yield Yield
10/08/2019,27.129
10/07/2019,27.099
10/04/2019,26.560
10/03/2019,26.739
10/02/2019,25.813
10/01/2019,26.723
09/30/2019,28.504
09/27/2019,27.830
09/26/2019,27.535
09/25/2019,27.746
09/24/2019,26.904
09/23/2019,25.874
09/20/2019,26.912
09/19/2019,26.164
09/18/2019,27.025
09/17/2019,27.807
09/16/2019,27.811
09/13/2019,29.667
09/12/2019,30.688
09/11/2019,31.044
09/10/2019,32.865
09/09/2019,35.052
09/06/2019,34.257
09/05/2019,35.482
09/04/2019,35.935
09/03/2019,37.477
09/02/2019,36.810
08/30/2019,37.725
08/29/2019,35.904
08/28/2019,37.492
08/27/2019,35.319
08/26/2019,33.994
08/23/2019,33.994
08/22/2019,33.748
08/21/2019,33.608
08/20/2019,34.086
08/19/2019,33.953
08/16/2019,33.062
08/15/2019,31.347
08/14/2019,31.539
08/13/2019,31.974
08/12/2019,33.270
08/09/2019,33.257
08/08/2019,32.309
08/07/2019,32.931
08/06/2019,32.410
08/05/2019,32.159
08/02/2019,30.583
08/01/2019,29.232
07/31/2019,28.264
07/30/2019,27.569
07/29/2019,25.178
07/26/2019,24.843
07/25/2019,24.308
07/24/2019,23.716
07/23/2019,23.126
07/22/2019,22.695
07/19/2019,23.376
07/18/2019,23.832
07/17/2019,24.182
07/16/2019,24.475
07/15/2019,23.160
07/12/2019,23.529
07/11/2019,23.663
07/10/2019,23.992
07/09/2019,23.492
07/08/2019,23.903
07/05/2019,23.827
07/04/2019,24.165
07/03/2019,23.312
07/02/2019,24.473
07/01/2019,24.844
06/28/2019,25.518
06/27/2019,25.889
06/26/2019,25.165
06/25/2019,24.681
06/24/2019,24.462
06/21/2019,24.674
06/20/2019,25.934
06/19/2019,25.080
06/18/2019,25.292
06/17/2019,24.288
06/14/2019,23.078
06/13/2019,22.191
06/12/2019,23.642
06/11/2019,22.184
06/10/2019,22.232
06/07/2019,21.677
06/06/2019,21.689
06/05/2019,21.833
06/04/2019,22.150
06/03/2019,21.364
05/31/2019,21.139
05/30/2019,21.311
05/29/2019,21.417
05/28/2019,20.623
05/27/2019,20.927
05/24/2019,20.927
05/23/2019,21.589
05/22/2019,22.500
05/21/2019,22.202
05/20/2019,22.392
05/17/2019,22.148
05/16/2019,21.554
05/15/2019,21.679
05/14/2019,21.686
05/13/2019,22.185
05/10/2019,22.474
05/09/2019,21.070
05/08/2019,20.607
05/07/2019,20.458
05/06/2019,20.150
05/03/2019,20.150
05/02/2019,19.848
05/01/2019,20.348
04/30/2019,19.621
04/29/2019,19.930
04/26/2019,20.435
04/25/2019,20.047
04/24/2019,19.853
04/23/2019,18.762
04/22/2019,18.719
04/19/2019,18.719
04/18/2019,18.719
04/17/2019,18.090
04/16/2019,18.707
04/15/2019,18.216
04/12/2019,19.240
04/11/2019,19.622
04/10/2019,20.008
04/09/2019,19.503
04/08/2019,19.067
04/05/2019,18.027
04/04/2019,18.631
04/03/2019,18.009
04/02/2019,18.780
04/01/2019,19.057
03/29/2019,19.277
03/28/2019,19.713
03/27/2019,20.806
03/26/2019,21.615
03/25/2019,19.758
03/22/2019,18.691
03/21/2019,19.159
03/20/2019,17.916
03/19/2019,18.284
03/18/2019,18.647
03/15/2019,19.060
03/14/2019,19.160
03/13/2019,21.725
03/12/2019,20.112
03/11/2019,19.464
03/08/2019,19.312
03/07/2019,17.535
03/06/2019,15.746
03/05/2019,16.268
03/04/2019,15.729
03/01/2019,16.105
02/28/2019,17.436
02/27/2019,17.892
02/26/2019,19.189
02/25/2019,19.048
02/22/2019,18.200
02/21/2019,17.415
02/20/2019,18.534
02/19/2019,19.832
02/18/2019,18.752
02/15/2019,19.491
02/14/2019,19.512
02/13/2019,20.166
02/12/2019,20.902
02/11/2019,20.637
02/08/2019,20.065
02/07/2019,19.922
02/06/2019,18.752
02/05/2019,18.319
02/04/2019,19.017
02/01/2019,18.274
01/31/2019,17.565
01/30/2019,16.441
01/29/2019,16.863
01/28/2019,16.490
01/25/2019,17.792
01/24/2019,17.602
01/23/2019,18.191
01/22/2019,19.491
01/21/2019,19.379
01/18/2019,20.480
01/17/2019,20.229
01/16/2019,19.330
01/15/2019,20.031
01/14/2019,21.564
01/11/2019,22.887
01/10/2019,21.208
01/09/2019,22.189
01/08/2019,24.732
01/07/2019,23.702
01/04/2019,26.073
01/03/2019,26.096
01/02/2019,27.664
01/01/2019,28.450
12/31/2018,28.450
12/28/2018,26.691
12/27/2018,26.690
12/26/2018,25.639
12/25/2018,25.639
12/24/2018,25.639
12/21/2018,25.649
12/20/2018,23.447
12/19/2018,24.340
12/18/2018,23.657
12/17/2018,24.886
12/14/2018,23.493
12/13/2018,23.417
12/12/2018,23.945
12/11/2018,19.761
12/10/2018,15.275
12/07/2018,21.110
12/06/2018,22.499
12/05/2018,24.114
12/04/2018,24.134
12/03/2018,28.895
11/30/2018,29.602
11/29/2018,26.910
11/28/2018,28.408
11/27/2018,25.781
11/26/2018,23.146
11/23/2018,21.439
11/22/2018,21.473
11/21/2018,22.313
11/20/2018,22.659
11/19/2018,21.421
11/16/2018,20.281
11/15/2018,22.182
11/14/2018,18.129
